18:59:49:277, Thread-9: Door made new customer ade0c41e-fd35-484a-9a6c-619c0710248f
18:59:49:286, Thread-9: Customer ade0c41e-fd35-484a-9a6c-619c0710248f is now waiting
18:59:49:392, Thread-9: Door made new customer 42ca49e1-7cae-417e-a2ad-32c4cf5f0173
18:59:49:401, Thread-9: Customer 42ca49e1-7cae-417e-a2ad-32c4cf5f0173 is now waiting
18:59:49:502, Thread-9: Door made new customer b6e77840-eec8-4768-99d8-ed84892483d6
18:59:49:512, Thread-9: Customer b6e77840-eec8-4768-99d8-ed84892483d6 is now waiting
18:59:49:617, Thread-9: Door made new customer 2cb093b9-4a9c-4eb0-a387-a9423d16b448
18:59:49:626, Thread-9: Customer 2cb093b9-4a9c-4eb0-a387-a9423d16b448 is now waiting
18:59:49:728, Thread-9: Door made new customer e0305b67-5fbf-4fe3-88a3-ed88982f44a9
18:59:49:737, Thread-9: Customer e0305b67-5fbf-4fe3-88a3-ed88982f44a9 is now waiting
18:59:49:841, Thread-9: Door made new customer ad39cea2-77f2-4272-85d6-7d424bf05df6
19:47:39:113, main: Clock is created
19:47:39:152, main: WaitingArea is created
19:47:39:154, Thread-1: Waitress is LIVE
19:47:39:154, Thread-2: Waitress is LIVE
19:47:39:154, Thread-3: Waitress is LIVE
19:47:39:154, Thread-4: Waitress is LIVE
19:47:39:155, Thread-5: Waitress is LIVE
19:47:39:156, Thread-7: Waitress is LIVE
19:47:39:156, Thread-8: Waitress is LIVE
19:47:39:156, Thread-6: Waitress is LIVE
19:47:39:157, Thread-9: Door is LIVE
19:47:39:192, Thread-9: Door made new customer 9ad192e0-f923-435f-9bb9-f8abd7c867a9
19:47:39:193, Thread-9: Customer 9ad192e0-f923-435f-9bb9-f8abd7c867a9 is now waiting
19:47:39:299, Thread-9: Door made new customer a51bb8a2-4092-41ad-a935-6923160914cc
19:47:39:308, Thread-9: Customer a51bb8a2-4092-41ad-a935-6923160914cc is now waiting
19:47:39:410, Thread-9: Door made new customer 9f1dd05b-4977-49cb-b9e7-c3747b18897d
19:47:39:411, Thread-9: Customer 9f1dd05b-4977-49cb-b9e7-c3747b18897d is now waiting
19:47:39:518, Thread-9: Door made new customer 43c960cf-a155-4bb8-a279-e79150a4d8ca
19:47:39:527, Thread-9: Customer 43c960cf-a155-4bb8-a279-e79150a4d8ca is now waiting
19:47:39:628, Thread-9: Door made new customer 104bf25e-1931-44cb-b075-b016a181cd40
19:47:39:637, Thread-9: Customer 104bf25e-1931-44cb-b075-b016a181cd40 is now waiting
19:47:39:743, Thread-9: Door made new customer 41ee30f2-4280-4dc0-bf5a-92c826148b5e
19:47:39:744, Thread-9: Customer 41ee30f2-4280-4dc0-bf5a-92c826148b5e is now waiting
19:47:39:846, Thread-9: Door made new customer a4e1cdb8-feb2-4541-bc96-439b57bb04fb
19:47:39:847, Thread-9: Customer a4e1cdb8-feb2-4541-bc96-439b57bb04fb is now waiting
19:47:39:954, Thread-9: Door made new customer 44abe851-0e0e-44f2-b558-250cdd88b4cb
19:47:39:955, Thread-9: Customer 44abe851-0e0e-44f2-b558-250cdd88b4cb is now waiting
19:47:40:60, Thread-9: Door made new customer 4007cb7f-9fae-4654-8d78-d06caeccd40e
19:47:40:61, Thread-9: Customer 4007cb7f-9fae-4654-8d78-d06caeccd40e is now waiting
19:47:40:166, Thread-9: Door made new customer 478974a3-b747-4448-ae33-71af1005098a
19:47:40:168, Thread-9: Customer 478974a3-b747-4448-ae33-71af1005098a is now waiting
19:47:40:274, Thread-9: Door made new customer 0252d7b3-1d74-4b67-ae86-8400696c9216
19:47:40:275, Thread-9: Customer 0252d7b3-1d74-4b67-ae86-8400696c9216 is now waiting
19:47:40:377, Thread-9: Door made new customer d49ef661-78db-4b21-be8d-460eff7eaf9b
19:47:40:378, Thread-9: Customer d49ef661-78db-4b21-be8d-460eff7eaf9b is now waiting
19:47:40:484, Thread-9: Door made new customer a7600b60-065f-4622-9353-89b85704dec1
19:47:40:485, Thread-9: Customer a7600b60-065f-4622-9353-89b85704dec1 is now waiting
19:47:40:590, Thread-9: Door made new customer 0909edce-8f57-486e-809a-e536112345e3
19:47:40:591, Thread-9: Customer 0909edce-8f57-486e-809a-e536112345e3 is now waiting
19:47:40:695, Thread-9: Door made new customer c8213963-e163-46b7-affa-9e6c3d584f75
19:47:40:696, Thread-9: Customer c8213963-e163-46b7-affa-9e6c3d584f75 is now waiting
19:47:40:802, Thread-9: Door made new customer d45251cc-b9d2-456d-a144-f76e8c9dcfb8
19:47:40:804, Thread-9: Customer d45251cc-b9d2-456d-a144-f76e8c9dcfb8 is now waiting
19:47:40:907, Thread-9: Door made new customer 25b97f76-7ad3-4ee2-a938-a74436acb725
20:33:19:111, main: Clock is created
20:33:19:153, main: WaitingArea is created
20:33:19:155, Thread-1: Waitress is LIVE
20:33:19:155, Thread-2: Waitress is LIVE
20:33:19:155, Thread-3: Waitress is LIVE
20:33:19:156, Thread-4: Waitress is LIVE
20:33:19:156, Thread-5: Waitress is LIVE
20:33:19:157, Thread-7: Waitress is LIVE
20:33:19:157, Thread-6: Waitress is LIVE
20:33:19:158, Thread-8: Waitress is LIVE
20:33:19:159, Thread-9: Door is LIVE
20:33:19:197, Thread-9: Door made new customer de6da655-50af-4984-8d7f-6a1e20800478
20:33:19:198, Thread-9: Customer de6da655-50af-4984-8d7f-6a1e20800478 is now waiting
20:33:19:304, Thread-9: Door made new customer b8ce2191-936e-4002-b1e6-1b9aeb26ccab
20:33:19:314, Thread-9: Customer b8ce2191-936e-4002-b1e6-1b9aeb26ccab is now waiting
20:33:19:421, Thread-9: Door made new customer c5783e2f-cd69-412d-bcf8-fae5f7ed56a0
20:33:19:430, Thread-9: Customer c5783e2f-cd69-412d-bcf8-fae5f7ed56a0 is now waiting
20:33:19:533, Thread-9: Door made new customer 92817062-965c-4bc0-9f99-5f31972aa3ea
20:33:19:543, Thread-9: Customer 92817062-965c-4bc0-9f99-5f31972aa3ea is now waiting
20:33:19:649, Thread-9: Door made new customer 25e55d89-2340-46b7-9671-54dd5b3c5bc2
20:33:19:658, Thread-9: Customer 25e55d89-2340-46b7-9671-54dd5b3c5bc2 is now waiting
20:33:19:764, Thread-9: Door made new customer 4a4bb398-0a87-4569-921a-8f8ab00f99f3
20:33:19:773, Thread-9: Customer 4a4bb398-0a87-4569-921a-8f8ab00f99f3 is now waiting
20:33:19:877, Thread-9: Door made new customer d5864ce5-2aab-4824-b2a8-ad49d3644c8f
20:33:19:887, Thread-9: Customer d5864ce5-2aab-4824-b2a8-ad49d3644c8f is now waiting
20:33:19:993, Thread-9: Door made new customer a9aa2319-234c-4998-ad64-f38349826fb5
20:33:20:03, Thread-9: Customer a9aa2319-234c-4998-ad64-f38349826fb5 is now waiting
20:33:20:109, Thread-9: Door made new customer 9d00c833-4580-4ada-ab29-f9e23640353e
20:33:20:118, Thread-9: Customer 9d00c833-4580-4ada-ab29-f9e23640353e is now waiting
20:33:20:220, Thread-9: Door made new customer c254a75b-61d1-48f1-b794-2c0bece64016
20:33:20:229, Thread-9: Customer c254a75b-61d1-48f1-b794-2c0bece64016 is now waiting
20:33:20:331, Thread-9: Door made new customer 3b026115-1486-4128-b8d7-fec1e8f6053f
20:33:20:340, Thread-9: Customer 3b026115-1486-4128-b8d7-fec1e8f6053f is now waiting
20:33:20:442, Thread-9: Door made new customer aeedc864-bce8-4a65-8ab0-ba28f3074902
20:33:20:451, Thread-9: Customer aeedc864-bce8-4a65-8ab0-ba28f3074902 is now waiting
20:33:20:556, Thread-9: Door made new customer 60d47111-c65b-4a77-b4d3-af973a0dfd78
20:33:20:565, Thread-9: Customer 60d47111-c65b-4a77-b4d3-af973a0dfd78 is now waiting
20:33:20:671, Thread-9: Door made new customer 8a8df9cf-6196-4a40-afb3-66d39bd03655
20:33:20:680, Thread-9: Customer 8a8df9cf-6196-4a40-afb3-66d39bd03655 is now waiting
20:33:20:786, Thread-9: Door made new customer c7b23d38-646e-4f9d-929b-0f68e34b8b70
20:33:20:795, Thread-9: Customer c7b23d38-646e-4f9d-929b-0f68e34b8b70 is now waiting
20:33:20:900, Thread-9: Door made new customer b4dd702d-6475-401c-b08d-0c28f775f851
20:33:20:909, Thread-9: Customer b4dd702d-6475-401c-b08d-0c28f775f851 is now waiting
20:33:21:12, Thread-9: Door made new customer 6a36c0d3-92b0-42b5-8854-86452c517240
09:12:04:124, main: Clock is created
09:12:04:163, main: WaitingArea is created
09:12:04:165, Thread-2: Waitress is LIVE
09:12:04:165, Thread-1: Waitress is LIVE
09:12:04:165, Thread-3: Waitress is LIVE
09:12:04:165, Thread-4: Waitress is LIVE
09:12:04:166, Thread-5: Waitress is LIVE
09:12:04:167, Thread-6: Waitress is LIVE
09:12:04:167, Thread-7: Waitress is LIVE
09:12:04:168, Thread-8: Waitress is LIVE
09:12:04:169, Thread-9: Door is LIVE
09:12:04:204, Thread-9: Door made new customer 93670e99-7f85-4061-9a60-bdbed2577ca9
09:12:04:205, Thread-9: Customer 93670e99-7f85-4061-9a60-bdbed2577ca9 is now waiting
09:12:04:308, Thread-9: Door made new customer e9392a79-1430-4302-adba-67eea40d9a83
09:12:04:310, Thread-9: Customer e9392a79-1430-4302-adba-67eea40d9a83 is now waiting
09:12:04:411, Thread-9: Door made new customer 4d9018bb-839f-421e-95a2-542318fe30d7
09:12:04:420, Thread-9: Customer 4d9018bb-839f-421e-95a2-542318fe30d7 is now waiting
09:12:04:527, Thread-9: Door made new customer 607c2c4d-0352-4904-9dab-840a821b0968
09:12:04:535, Thread-9: Customer 607c2c4d-0352-4904-9dab-840a821b0968 is now waiting
09:12:04:636, Thread-9: Door made new customer 2e41a2ce-9e35-4d81-9cff-f10a2b3ad469
09:12:04:646, Thread-9: Customer 2e41a2ce-9e35-4d81-9cff-f10a2b3ad469 is now waiting
09:12:04:753, Thread-9: Door made new customer 6987bb39-aca6-4d69-9843-5e7d99cbcc87
09:12:04:761, Thread-9: Customer 6987bb39-aca6-4d69-9843-5e7d99cbcc87 is now waiting
09:12:04:867, Thread-9: Door made new customer 7f25a68e-5833-4021-9cc4-5b214cf975ce
09:12:04:876, Thread-9: Customer 7f25a68e-5833-4021-9cc4-5b214cf975ce is now waiting
09:12:04:981, Thread-9: Door made new customer d3d2acbc-f81d-4629-802b-cf247d4fad97
09:12:04:991, Thread-9: Customer d3d2acbc-f81d-4629-802b-cf247d4fad97 is now waiting
09:12:05:97, Thread-9: Door made new customer 4a005010-2a21-4eea-8bc4-a16d19ebffde
09:12:05:106, Thread-9: Customer 4a005010-2a21-4eea-8bc4-a16d19ebffde is now waiting
09:12:05:211, Thread-9: Door made new customer a7166134-0131-4e9e-b075-a0de10deb512
09:12:05:220, Thread-9: Customer a7166134-0131-4e9e-b075-a0de10deb512 is now waiting
09:12:05:324, Thread-9: Door made new customer ef315176-f22d-4c62-a2e9-4f24ab6835ca
09:12:05:334, Thread-9: Customer ef315176-f22d-4c62-a2e9-4f24ab6835ca is now waiting
09:12:05:437, Thread-9: Door made new customer 88fedd1e-b60d-4d2b-b47c-63005aeada40
09:12:05:446, Thread-9: Customer 88fedd1e-b60d-4d2b-b47c-63005aeada40 is now waiting
09:12:05:549, Thread-9: Door made new customer 4736f69e-1ad2-4e25-bb7f-8bb88aa2cb07
09:12:05:558, Thread-9: Customer 4736f69e-1ad2-4e25-bb7f-8bb88aa2cb07 is now waiting
09:12:05:661, Thread-9: Door made new customer 3708c07a-f6c8-4f47-a12e-0fc0d413c54b
09:12:05:670, Thread-9: Customer 3708c07a-f6c8-4f47-a12e-0fc0d413c54b is now waiting
09:12:05:773, Thread-9: Door made new customer 0e65ff8b-b1b1-4628-99b2-f95042121034
09:12:05:783, Thread-9: Customer 0e65ff8b-b1b1-4628-99b2-f95042121034 is now waiting
09:12:05:888, Thread-9: Door made new customer 53b45ebb-4484-4230-bbf5-7b2908cc9177
